file,id,route,timeofday,frameIndex
train_20161,12279,Saitama,day,0
train_13724,13211,Saitama,day,1
train_13260,8432,Saitama,day,2
train_18938,9877,Saitama,day,3
train_08311,20312,Saitama,day,4
train_03308,2092,Saitama,day,5
train_18782,15040,Saitama,day,6
train_20904,17996,Saitama,day,7
train_19944,13678,Saitama,day,8
train_02953,5745,Saitama,day,9
train_13659,11648,Saitama,day,10
train_04446,15274,Saitama,day,11
train_03864,13507,Saitama,day,12
train_02930,10441,Saitama,day,13
train_08831,1569,Saitama,day,14
train_08528,19335,Saitama,day,15
train_00692,725,Saitama,day,16
train_08060,11660,Saitama,day,17
train_08384,9906,Saitama,day,18
train_00736,5507,Saitama,day,19
train_01656,8539,Saitama,day,20
train_04561,2210,Saitama,day,21
train_15529,10665,Saitama,day,22
train_07855,20780,Saitama,day,23
train_08352,3359,Saitama,day,24
train_04229,15409,Saitama,day,25
train_19080,19189,Saitama,day,26
train_21130,3326,Saitama,day,27
train_11673,17272,Saitama,day,28
train_14936,6793,Saitama,day,29
train_07167,8091,Saitama,day,30
train_18560,7479,Saitama,day,31
train_01163,20186,Saitama,day,32
train_03204,10946,Saitama,day,33
train_00964,19953,Saitama,day,34
train_04068,4211,Saitama,day,35
train_05054,13251,Saitama,day,36
train_02190,12921,Saitama,day,37
train_09811,17929,Saitama,day,38
train_12017,1338,Saitama,day,39
train_15248,6792,Saitama,day,40
train_11126,12193,Saitama,day,41
train_04600,9,Saitama,day,42
train_01108,8189,Saitama,day,43
train_12365,8952,Saitama,day,44
train_20319,15534,Saitama,day,45
train_05586,1939,Saitama,day,46
train_16981,18334,Saitama,day,47
train_08247,17214,Saitama,day,48
train_17437,13560,Saitama,day,49
train_07173,3044,Saitama,day,50
train_18398,7794,Saitama,day,51
train_19263,10845,Saitama,day,52
train_06254,4813,Saitama,day,53
train_07789,12955,Saitama,day,54
train_08330,4786,Saitama,day,55
train_02207,17516,Saitama,day,56
train_02924,14902,Saitama,day,57
train_04399,6295,Saitama,day,58
train_01278,11375,Saitama,day,59
train_16952,5371,Saitama,day,60
train_14262,19715,Saitama,day,61
train_17688,15453,Saitama,day,62
train_06163,10125,Saitama,day,63
train_01545,18697,Saitama,day,64
train_14446,8347,Saitama,day,65
train_08491,1541,Saitama,day,66
train_06424,15525,Saitama,day,67
train_01380,19555,Saitama,day,68
train_18803,4652,Saitama,day,69
train_12885,14580,Saitama,day,70
train_16354,6244,Saitama,day,71
train_17303,8598,Saitama,day,72
train_10140,7841,Saitama,day,73
train_12172,1070,Saitama,day,74
train_06776,21236,Saitama,day,75
train_16712,7388,Saitama,day,76
train_17038,13643,Saitama,day,77
train_02850,12743,Saitama,day,78
train_07958,4617,Saitama,day,79
train_04189,1288,Saitama,day,80
train_02282,11265,Saitama,day,81
train_15647,7853,Saitama,day,82
train_09409,19765,Saitama,day,83
train_06095,6147,Saitama,day,84
train_02415,7787,Saitama,day,85
train_05927,16583,Saitama,day,86
train_17225,15699,Saitama,day,87
train_13424,8993,Saitama,day,88
train_09230,6736,Saitama,day,133
train_06552,6015,Saitama,day,134
train_16662,11401,Saitama,day,135
train_19206,17454,Saitama,day,136
train_01085,8507,Saitama,day,137
train_03580,16929,Saitama,day,138
train_10834,18666,Saitama,day,139
train_00709,12773,Saitama,day,140
train_05770,4581,Saitama,day,141
train_05038,13825,Saitama,day,142
train_15609,8553,Saitama,day,143
train_20018,3519,Saitama,day,144
train_07103,13182,Saitama,day,145
train_15467,12728,Saitama,day,146
train_15425,19537,Saitama,day,147
train_11476,7472,Saitama,day,148
train_13223,5974,Saitama,day,149
train_01616,2675,Saitama,day,150
train_21148,4439,Saitama,day,151
train_02726,15733,Saitama,day,152
train_06869,6231,Saitama,day,153
train_16896,17704,Saitama,day,154
train_16982,11291,Saitama,day,155
train_09658,7886,Saitama,day,156
train_20510,13634,Saitama,day,157
train_16148,729,Saitama,day,158
train_18742,5755,Saitama,day,159
train_00643,11489,Saitama,day,160
train_01242,16754,Saitama,day,161
train_15710,3864,Saitama,day,162
train_01482,4868,Saitama,day,163
train_07205,19155,Saitama,day,164
train_08977,12364,Saitama,day,165
